Name,GEOID,Longitude,Latitude,UnemploymentRate,HighSchoolGraduation,MedianHouseholdIncome,PovertyRate,PerCapitaIncome,PerceivedNeighborhoodViolenceRate,EaseOfWalkingToTransitStopRate,MeanTravelTimeToWork,ParticulateMatterConcentration,PerceivedNeighborhoodCleanlinessRate,FoodInsecurityRate,OverallHealthStatusRate,PrimaryCareProviderRate,RoutineCheckupRate,ReceivedNeededCareRate
Rogers Park,1,-87.670171,42.00963,5.730761428,88.93645419,53437.61017,19.98346632,33418.25434,42.70346662,77.21007526,36.39451805,8.66452276,31.10572621,21.31869981,84.6983417,76.20915326,72.28482242,71.21929862
Norwood Park,10,-87.803451,41.985248,4.030903836,93.06068316,98470.72342,7.078679568,46079.99454,20.92029631,70.94949787,30.73135796,9.004154815,69.27562915,11.2550169,85.26005778,87.10876689,83.56370652,80.05494694
Jefferson Park,11,-87.771165,41.978836,5.959054974,92.05433202,85018.79568,8.798697262,38515.33898,16.37493706,76.11060475,33.323542,8.994515813,66.45625973,12.9997274,87.27229916,74.11285064,68.83772806,75.97286655
Forest Glen,12,-87.758358,41.993938,4.536269415,95.54409596,130092.4857,3.860948224,64922.01609,4.723025616,80.41089394,34.17014078,8.906693834,86.45455106,9.531562505,94.21303772,90.16132871,80.6664779,84.26035626
North Park,13,-87.723578,41.983651,3.746121304,88.61180897,65645.26518,14.41989441,34174.27442,7.810401898,80.55943369,33.2426292,8.908190319,67.53638201,15.91364238,89.61312319,83.24940998,80.75293037,57.06891071
Albany Park,14,-87.721558,41.968078,6.426612271,81.1509917,72881.2412,13.38806224,35617.61313,38.59285977,80.22124408,34.46211557,8.97050235,51.18138198,15.29662837,85.89639143,85.82953019,73.69649852,76.2113404
Portage Park,15,-87.763401,41.954043,5.357157001,87.81228327,79293.21062,9.794777713,35384.98391,17.96183768,80.8703451,37.14377223,9.08838753,57.43415535,13.79170791,95.03400837,86.6136022,73.0770888,84.52806678
Irving Park,16,-87.723457,41.953589,6.000298467,87.34020139,81726.82719,8.701739894,44221.79134,15.83980827,87.02534044,34.76031182,9.02994103,59.88047409,12.46597523,92.95734999,80.31132518,78.94402297,79.317516
Dunning,17,-87.806015,41.946522,5.160218872,89.74224741,77315.51083,7.749238797,35926.12789,16.09635886,82.71017078,36.78987317,9.169997399,59.6452061,11.69204414,88.46523051,92.79114731,78.01505185,79.73690121
Montclare,18,-87.798033,41.929306,4.176817737,80.81959318,67104.35413,10.97946357,30695.71994,12.85942603,65.43751547,36.7316845,9.227691777,56.70473907,14.04220901,88.17351641,80.34574672,76.64781382,74.12685147
Belmont Cragin,19,-87.765502,41.927275,4.516766399,70.7022197,57618.94511,15.14026221,23236.38914,22.26490351,69.07099243,38.43888616,9.194716214,34.74614257,14.59318299,84.13846309,85.63321907,76.58261033,78.95602022
West Ridge,2,-87.695017,42.001583,6.535238126,83.62586359,64316.29993,17.104954,29714.90859,17.82836513,66.10042002,32.95315248,8.760562678,38.26361921,19.10717411,82.26506058,88.10859471,77.03098486,62.33377349
Hermosa,20,-87.734741,41.924353,5.502811081,72.34625061,59771.02981,13.67633447,25060.99575,26.25980359,67.5809973,35.03458991,9.162330315,44.30579955,15.48110614,75.33088882,61.96228153,72.09278416,64.03743993
Avondale,21,-87.711219,41.938673,5.670223922,86.65918268,82957.54746,12.8577625,42125.28833,21.27498334,89.88439017,35.50593722,9.06636919,42.9635921,14.37478072,92.26274435,75.81435778,69.16658401,71.99529683
Logan Square,22,-87.699149,41.922768,4.37168085,91.91876774,93904.05631,11.42464086,58058.92056,30.66904786,87.85785673,33.12874864,9.105319157,40.98991448,12.57336035,91.60843745,77.68599768,67.75170543,80.80943253
Humboldt Park,23,-87.720917,41.90008,10.48914557,76.34982285,47128.02717,25.00772259,23676.17121,44.24003876,75.2537269,35.70706232,9.238760723,14.91983804,24.1757783,86.45980048,77.52369391,80.29031819,65.54972151
West Town,24,-87.676358,41.901216,3.514941567,94.83414662,121913.4173,8.934674182,74966.15736,28.58333055,86.02378649,29.83581386,9.151376156,44.95073034,13.57626239,95.17608416,78.81726258,71.92710128,76.4382921
Austin,25,-87.763117,41.894113,14.50406366,82.28703984,43108.77244,25.9996153,21773.04574,39.12880732,69.32180497,37.19861978,9.315836641,28.09511926,26.48040696,76.47961365,83.31420356,81.22558957,79.9515374
West Garfield Park,26,-87.730233,41.878602,20.72445422,75.09010265,33213.63489,33.66537371,17026.98483,68.57988331,64.27767338,36.37940324,9.337613076,16.21798308,35.6939967,80.36807216,70.72815449,79.34970325,66.74158606
East Garfield Park,27,-87.705892,41.878923,17.15738462,79.97536604,30945.79254,40.42719734,18945.50077,52.11989887,72.18536025,35.06090533,9.293395573,26.45051143,37.70552229,68.32821625,83.97732591,68.59368762,74.4686487
Near West Side,28,-87.663513,41.874016,7.020788644,94.48433165,97636.08464,17.84336763,67603.60912,30.50482293,88.34564467,26.32058027,9.233006039,43.43117972,23.38987387,92.78264512,83.62000685,73.82005102,79.2602266
